benchmark_class,case_number,case_id,seed,container_length_mm,container_width_mm,container_height_mm,number_of_box_types,requested_units,requested_volume_m3,container_volume_m3,requested_volume_vs_container_pct,weight_kg,stackable,sequence,source_file,source_url
BR1,1,BR1-1,2502505,5870,2330,2200,3,112,29.73639,30.08962,98.82607357620336,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,2,BR1-2,2502605,5870,2330,2200,3,138,29.747753,30.08962,98.86383742965182,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,3,BR1-3,2502705,5870,2330,2200,3,127,29.963259,30.08962,99.58005119373392,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,4,BR1-4,2502805,5870,2330,2200,3,197,30.036306,30.08962,99.82281597441244,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,5,BR1-5,2502905,5870,2330,2200,3,136,29.934375,30.08962,99.48405795752822,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,6,BR1-6,2503005,5870,2330,2200,3,147,30.03966,30.08962,99.83396267550071,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,7,BR1-7,2503105,5870,2330,2200,3,126,30.030422,30.08962,99.80326105813234,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,8,BR1-8,2503205,5870,2330,2200,3,180,30.01508,30.08962,99.75227337533674,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,9,BR1-9,2503305,5870,2330,2200,3,101,29.845092,30.08962,99.18733436979264,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,10,BR1-10,2503405,5870,2330,2200,3,130,29.964912,30.08962,99.58554478255292,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,11,BR1-11,2503505,5870,2330,2200,3,102,29.729166,30.08962,98.80206529693628,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,12,BR1-12,2503605,5870,2330,2200,3,104,29.999728,30.08962,99.70125245848901,0,True,1,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
