benchmark_class,case_number,case_id,seed,container_length_mm,container_width_mm,container_height_mm,number_of_box_types,product_id,product_name,length_mm,width_mm,height_mm,qty,weight_kg,stackable,sequence,R1,R2,R3,source_length_vertical_allowed,source_width_vertical_allowed,source_height_vertical_allowed,source_file,source_url
BR1,1,BR1-1,2502505,5870,2330,2200,3,1,BR1-1-P1,1080,760,300,40,0,True,1,True,False,False,False,False,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,1,BR1-1,2502505,5870,2330,2200,3,2,BR1-1-P2,1100,430,250,33,0,True,1,True,True,False,False,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,1,BR1-1,2502505,5870,2330,2200,3,3,BR1-1-P3,920,810,550,39,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,2,BR1-2,2502605,5870,2330,2200,3,1,BR1-2-P1,490,250,210,41,0,True,1,True,True,False,False,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,2,BR1-2,2502605,5870,2330,2200,3,2,BR1-2-P2,600,510,410,53,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,2,BR1-2,2502605,5870,2330,2200,3,3,BR1-2-P3,1030,760,640,44,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,3,BR1-3,2502705,5870,2330,2200,3,1,BR1-3-P1,970,810,270,41,0,True,1,True,False,False,False,False,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,3,BR1-3,2502705,5870,2330,2200,3,2,BR1-3-P2,1020,780,390,42,0,True,1,True,False,False,False,False,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,3,BR1-3,2502705,5870,2330,2200,3,3,BR1-3-P3,1130,460,360,44,0,True,1,True,True,False,False,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,4,BR1-4,2502805,5870,2330,2200,3,1,BR1-4-P1,1130,920,330,67,0,True,1,True,False,False,False,False,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,4,BR1-4,2502805,5870,2330,2200,3,2,BR1-4-P2,520,370,280,60,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,4,BR1-4,2502805,5870,2330,2200,3,3,BR1-4-P3,570,330,290,70,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,5,BR1-5,2502905,5870,2330,2200,3,1,BR1-5-P1,880,540,390,51,0,True,1,True,True,False,False,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,5,BR1-5,2502905,5870,2330,2200,3,2,BR1-5-P2,940,540,360,38,0,True,1,True,True,False,False,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,5,BR1-5,2502905,5870,2330,2200,3,3,BR1-5-P3,870,770,430,47,0,True,1,True,True,False,False,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,6,BR1-6,2503005,5870,2330,2200,3,1,BR1-6-P1,860,840,450,56,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,6,BR1-6,2503005,5870,2330,2200,3,2,BR1-6-P2,810,450,340,56,0,True,1,True,True,False,False,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,6,BR1-6,2503005,5870,2330,2200,3,3,BR1-6-P3,700,540,370,35,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,7,BR1-7,2503105,5870,2330,2200,3,1,BR1-7-P1,1180,790,510,37,0,True,1,True,True,False,False,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,7,BR1-7,2503105,5870,2330,2200,3,2,BR1-7-P2,860,320,310,44,0,True,1,True,True,False,False,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,7,BR1-7,2503105,5870,2330,2200,3,3,BR1-7-P3,640,580,520,45,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,8,BR1-8,2503205,5870,2330,2200,3,1,BR1-8-P1,750,580,570,58,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,8,BR1-8,2503205,5870,2330,2200,3,2,BR1-8-P2,570,370,300,66,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,8,BR1-8,2503205,5870,2330,2200,3,3,BR1-8-P3,790,740,350,56,0,True,1,True,False,False,False,False,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,9,BR1-9,2503305,5870,2330,2200,3,1,BR1-9-P1,900,700,630,29,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,9,BR1-9,2503305,5870,2330,2200,3,2,BR1-9-P2,840,780,280,32,0,True,1,True,False,False,False,False,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,9,BR1-9,2503305,5870,2330,2200,3,3,BR1-9-P3,940,850,390,40,0,True,1,True,False,False,False,False,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,10,BR1-10,2503405,5870,2330,2200,3,1,BR1-10-P1,680,660,310,44,0,True,1,True,False,False,False,False,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,10,BR1-10,2503405,5870,2330,2200,3,2,BR1-10-P2,1200,340,260,41,0,True,1,True,True,False,False,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,10,BR1-10,2503405,5870,2330,2200,3,3,BR1-10-P3,950,760,600,45,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
BR1,11,BR1-11,2503505,5870,2330,2200,3,1,BR1-11-P1,740,630,610,33,0,True,1,True,True,True,True,True,True,thpack1.txt,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/files/thpack1.txt
